Date,Promo
2025-03-01,20% Off All Perfumes
2025-03-07,Buy 2 Get 1 Free Spirits
2025-03-09,30% Off Ray-Ban Aviator 5654
2025-03-14,Buy 2 Get 1 Free on Chocolates
2025-03-16,Buy 2 Get 1 Free on ROM Chocolate
2025-03-23,Buy 2 Accessories Get 1 Free
2025-03-25,20% Off Dior Sauvage
2025-03-31,30% Off Second Accessory Item
2025-04-02,Save 100 RON on Gucci Bloom
2025-04-06,15% Off Premium Spirits
2025-04-08,50% Off Second Bottle of Palinca
2025-04-12,25% Off Romanian Food Products
2025-04-14,Free Tasting with Jagermeister Purchase
2025-04-19,Buy 2 Accessories Get 1 Free
2025-04-20,Easter Special: 25% Off Selected Items
2025-04-21,Special Bundle: Feteasca Neagra & Poiana Chocolate 15% Off
2025-04-28,30% Off Second Accessory Item
